Publisher_name;Publisher_address;Contact_details
Image Comics, Inc.;2021 Imaginary Route, Rome, Italy;Email: info@publisher2.co.uk
Selective Entertainment LLC;2223 Fantasy Street, Moscow, Russia;Phone: +44-20-7890-1234
Disha Publications;2223 Fantasy Street, Moscow, Russia;Email: contact@publisher1.com
Bonnier Zaffre Ltd.;789 Main Ave, Toronto, Canada;Email: info@publisher2.co.uk
Springer Science & Business Media;123 Random Street, New York, USA;Email: support@publisher4.fr
McGraw Hill Professional;2021 Imaginary Route, Rome, Italy;Phone: +44-20-7890-1234
Vintage Crime/Black Lizard;1415 Random Path, Tokyo, Japan;Email: help@publisher5.de
Vintage;1011 Fake Boulevard, Paris, France;Phone: +1-800-789-0123
Faber & Faber;2223 Fantasy Street, Moscow, Russia;Email: contact@publisher1.com
Archie Comic Publications;1011 Fake Boulevard, Paris, France;Phone: +1-800-123-4567
Image Comics;1415 Random Path, Tokyo, Japan;Phone: +33-1-2345-6789
Crown Business;2223 Fantasy Street, Moscow, Russia;Phone: +1-800-123-4567
Workman Publishing;789 Main Ave, Toronto, Canada;Phone: +33-1-2345-6789
Pan;2021 Imaginary Route, Rome, Italy;Email: help@publisher5.de
